,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
452,"Guararapes, Fortaleza",Avenida Coronel Miguel Dias,"Apartamento para comprar 
Guararapes, Fortaleza",220,3,5,4,R$ 2.300.000,Cond. R$ 2.000 • IPTU R$ 700,Guararapes, Fortaleza
453,"Meireles, Fortaleza",Rua Barbosa de Freitas,"Apartamento para comprar 
Meireles, Fortaleza",220,3,4,3,R$ 1.300.000,Cond. R$ 2.500,Meireles, Fortaleza
454,"Aldeota, Fortaleza",Rua Monsenhor Catão,"Apartamento para comprar 
Aldeota, Fortaleza",264,3,4,4,R$ 2.500.000,Cond. R$ 1.500,Aldeota, Fortaleza
455,"Meireles, Fortaleza",Rua Coronel Jucá,"Apartamento para comprar 
Meireles, Fortaleza",102,3,3,2,R$ 1.050.000,Cond. R$ 750,Meireles, Fortaleza
456,"De Lourdes, Fortaleza",,"Casa de condomínio para comprar 
De Lourdes, Fortaleza",620,4,7,6,R$ 6.500.000,Cond. R$ 4.100,De Lourdes, Fortaleza
457,"Guararapes, Fortaleza",Rua Jornalista César Magalhães,"Apartamento para comprar 
Guararapes, Fortaleza",314,6,6,5,R$ 2.400.000,Cond. R$ 2.400,Guararapes, Fortaleza
458,"Meireles, Fortaleza",Rua Tomás Pompeu,"Apartamento para comprar 
Meireles, Fortaleza",220,3,4,4,R$ 1.990.000,Cond. R$ 2.400,Meireles, Fortaleza
459,"Meireles, Fortaleza",Rua Tibúrcio Cavalcanti,"Apartamento para comprar 
Meireles, Fortaleza",302,4,5,4,R$ 2.400.000,Cond. R$ 2.600,Meireles, Fortaleza
460,"Dionisio Torres, Fortaleza",Rua Osvaldo Cruz,"Apartamento para comprar 
Dionisio Torres, Fortaleza",458,4,6,3,R$ 2.400.000,Cond. R$ 2.600 • IPTU R$ 1,Dionisio Torres, Fortaleza
461,"Meireles, Fortaleza",Rua Visconde de Mauá,"Apartamento para comprar 
Meireles, Fortaleza",240,4,5,4,R$ 1.400.000,Cond. R$ 2.430,Meireles, Fortaleza
462,"Guararapes, Fortaleza",Rua Desembargador Manuel Sales Andrade,"Apartamento para comprar 
Guararapes, Fortaleza",304,4,5,4,R$ 2.700.000,Cond. R$ 4.500,Guararapes, Fortaleza
463,"De Lourdes, Fortaleza",Rua Glaura Arruda Alcântara,"Casa de condomínio para comprar 
De Lourdes, Fortaleza",500,6,7,4,R$ 3.500.000,Cond. R$ 2.300,De Lourdes, Fortaleza
464,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Luiza Miranda Coelho,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",75,3,2,2,R$ 819.999,0,Engenheiro Luciano Cavalcante, Fortaleza
465,"Paupina, Fortaleza",Rua A,"Apartamento para comprar 
Paupina, Fortaleza",46,2,1,1,R$ 65.000,Cond. R$ 300,Paupina, Fortaleza
466,"Manoel Dias Branco, Fortaleza",Rua Bento Albuquerque,"Apartamento para comprar 
Manoel Dias Branco, Fortaleza",116,3,3,2,R$ 1.190.000,0,Manoel Dias Branco, Fortaleza
