,endereco,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,rua,bairro,cidade,estado,preco p/ m²,endereco_geo,latitude,longitude,preco_bin,Regional,IDH-Educação,IDH-Longevidade,IDH-Renda,IDH
0,"Rua Consuelo Freire, 585 - Parque Iracema, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 58m²",58.0,2,2,2,510000.0,550.0,Rua Consuelo Freire,Parque Iracema,Fortaleza,CE,8793.103448275862,"Rua Consuelo Freire, Parque del Sol, Parque Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60824-000, Brasil",-3.8077139372574,-38.496653539033694,5001-10000,6,0.9817813765182186,0.3270181219110378,0.4010215508041715,0.5049535625829636
1,"Rua dos Amigos, 100 - Cambeba, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 74m²",74.0,3,2,2,475000.0,714.0,Rua dos Amigos,Cambeba,Fortaleza,CE,6418.918918918919,"Rua dos Amigos, Cambeba, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60822-168, Brasil",-3.804931243265551,-38.4811643905563,5001-10000,6,0.9686234817813766,0.3525535420098847,0.4060532878790979,0.5175921753264556
2,"Rua Doutor Pedro Sampaio - Passaré, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 67m²",67.0,3,2,1,170000.0,400.0,Rua Doutor Pedro Sampaio,Passaré,Fortaleza,CE,2537.313432835821,"Rua Pedro Sampaio, Passaré, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60861-500, Brasil",-3.809588077306911,-38.52489288190769,1500-3000,6,0.938259109311741,0.1087314662273476,0.1111660122387283,0.2246725529938817
3,"Rua Coronel Olegário Memória - Sapiranga, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 70m²",70.0,3,2,2,230000.0,680.0,Rua Coronel Olegário Memória,Sapiranga/Coité,Fortaleza,CE,3285.714285714286,"Rua Coronel Olegário Memória, Conjunto Alvorada, Sapiranga / Coité, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60833-344, Brasil",-3.790785246385777,-38.466471371447966,3001-5000,6,0.937246963562753,0.21499176276771,0.1913288054521692,0.3378200388826952
4,"Rua Bento Albuquerque, 1670 - Cocó, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 123m²",123.0,3,4,2,1350000.0,1.0,Rua Bento Albuquerque,Cocó,Fortaleza,CE,10975.60975609756,"Rua Bento Albuquerque, Cocó, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60192-250, Brasil",-3.746946887440581,-38.47330576545293,10001-15000,2,0.9979757085020242,0.4967051070840197,0.8935119536647478,0.7622655996830392
5,"Rua A, 30 - Messejana, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,2,250000.0,325.0,Rua A,Messejana,Fortaleza,CE,5681.818181818182,"30, Rua A, Messejana, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60840-375, Brasil",-3.8338242,-38.487554,5001-10000,6,0.9564777327935224,0.4629324546952224,0.1197676220437448,0.3757024033168344
6,"Avenida Dioguinho, 4740 - Praia do Futuro, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 78m²",78.0,2,2,2,279000.0,680.0,Avenida Dioguinho,Praia do Futuro II,Fortaleza,CE,3576.923076923077,"Avenida Dioguinho, Praia do Futuro II, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60182-508, Brasil",-3.7580335246886336,-38.44488085210679,3001-5000,2,0.8977732793522267,0.0749588138385502,0.0703390648161413,0.1679043664047164
7,"Rua Deputado João Pontes, 900 - Fátima, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 69m²",69.0,3,2,2,550000.0,645.0,Rua Deputado João Pontes,Fátima,Fortaleza,CE,7971.014492753623,"Rua Deputado João Pontes, Fátima, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60040-430, Brasil",-3.7457747644449295,-38.53118823287832,5001-10000,4,0.9979757085020242,0.757825370675453,0.4434887100216648,0.6947958671151624
8,"Rua Carolina Sucupira, 1180 - Aldeota, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 130m²",130.0,3,3,2,740000.0,1060.0,Rua Carolina Sucupira,Aldeota,Fortaleza,CE,5692.307692307692,"Rua Carolina Sucupira, Aldeota, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60125-058, Brasil",-3.7412062,-38.4999503,5001-10000,2,0.9940283400809716,0.8410214168039539,0.7783901365088925,0.8665648093321585
9,"Rua C, 17 - Parque Dois Irmãos, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,65000.0,300.0,Rua C,Parque Dois Irmãos,Fortaleza,CE,1477.2727272727273,"Rua C, Parque Dois Irmăos, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60761-390, Brasil",-3.811027216538183,-38.550257448586045,0-1500,6,0.9504048582995952,0.1787479406919275,0.0931470723242766,0.2510573659791728
10,"Rua dos Mandacarus, 501 - Passaré, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 58m²",58.0,3,2,2,360000.0,410.0,Rua dos Mandacarus,Passaré,Fortaleza,CE,6206.896551724138,"Rua dos Mandacarus, Riacho Doce, Passaré, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60744-012, Brasil",-3.8057268,-38.544036,5001-10000,6,0.938259109311741,0.1087314662273476,0.1111660122387283,0.2246725529938817
11,"Rua Diamantina, 51 - Jóquei Clube, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 68m²",68.0,3,2,1,260000.0,600.0,Rua Diamantina,Jóquei Clube,Fortaleza,CE,3823.529411764706,"Rua Diamantina, Jóquei Clube, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60440-180, Brasil",-3.76313065,-38.5709105,3001-5000,3,0.9635627530364372,0.5074135090609555,0.1372456721506071,0.4063624429818939
12,"Rua Tibúrcio Pereira, 250 - Cajazeiras, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 70m²",70.0,3,2,1,140000.0,357.0,Rua Tibúrcio Pereira,Cajazeiras,Fortaleza,CE,2000.0,"Rua Tibúrcio Pereira, Cajazeiras, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60823-105, Brasil",-3.7929920083545614,-38.50981964722859,1500-3000,6,0.9544534412955464,0.1911037891268533,0.1548640612345736,0.3045497379718516
13,"Travessa Elisiário Mendes, 150 - Messejana, Fortaleza - CE","Apartamento com Quarto à Venda, 50m²",50.0,1,1,1,180000.0,350.0,Travessa Elisiário Mendes,Messejana,Fortaleza,CE,3600.0,"Travessa Elisiário Mendes, Messejana, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60841-477, Brasil",-3.81652962263644,-38.49471435767527,3001-5000,6,0.9564777327935224,0.4629324546952224,0.1197676220437448,0.3757024033168344
14,"Rua Visconde de Mauá, 555 - Meireles, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 129m²",129.0,3,4,2,1401068.0,1.0,Rua Visconde de Mauá,Meireles,Fortaleza,CE,10860.992248062015,"Rua Visconde de Mauá, Meireles, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60125-160, Brasil",-3.731948479029112,-38.49805830548218,10001-15000,2,1.0,0.8657331136738056,1.0,0.9530770452991866
15,"Rua José Rangel, 181 - Papicu, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 65m²",65.0,3,2,2,649000.0,417.0,Rua José Rangel,Papicu,Fortaleza,CE,9984.615384615385,"Rua José Rangel, Papicu, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60176-094, Brasil",-3.738436024425308,-38.46860255082704,5001-10000,2,0.951417004048583,0.4316309719934102,0.3617821880600768,0.5296352680519618
16,"Rua Amâncio Valente, 830 - Cambeba, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 77m²",77.0,3,2,1,470000.0,400.0,Rua Amâncio Valente,Cambeba,Fortaleza,CE,6103.896103896104,"Rua Amâncio Valente, Cambeba, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60830-005, Brasil",-3.808465904439252,-38.479934072558834,5001-10000,6,0.9686234817813766,0.3525535420098847,0.4060532878790979,0.5175921753264556
17,"Rua B, 268 - Dendê, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 45m²",45.0,2,1,1,132000.0,340.0,Rua B,Dendê,Fortaleza,CE,2933.333333333333,"Rua B, Rachel de Queiroz, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60711-100, Brasil",-3.795528174909877,-38.56195089793668,1500-3000,4,0.9483805668016196,0.0543657331136738,0.1152504612182008,0.1811271369676974
18,"Rua Vereador Pedro Paulo, 455 - Cidade dos Funcionários, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 52m²",52.0,2,1,1,260000.0,308.0,Rua Vereador Pedro Paulo,Cidade dos Funcionários,Fortaleza,CE,5000.0,"Rua Vereador Pedro Paulo, Engenheiro Luciano Cavalcante, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60822-045, Brasil",-3.786879421704192,-38.4924269183816,3001-5000,6,0.9848178137651822,0.4958813838550246,0.3829499837733057,0.5718628950565351
19,"Rua Alódia, 200 - Parque Iracema, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 70m²",70.0,3,2,2,580000.0,645.0,Rua Alódia,Parque Iracema,Fortaleza,CE,8285.714285714286,"Rua Alódia, Parque del Sol, Parque Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60824-230, Brasil",-3.807106330577079,-38.49463243321944,5001-10000,6,0.9817813765182186,0.3270181219110378,0.4010215508041715,0.5049535625829636
20,"Rua Joaquim Lima, 1201 - Papicu, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 78m²",78.0,3,3,2,776349.0,1.0,Rua Joaquim Lima,Papicu,Fortaleza,CE,9953.192307692309,"Rua Joaquim Lima, Papicu, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60191-156, Brasil",-3.743214012943892,-38.4740067459323,5001-10000,2,0.951417004048583,0.4316309719934102,0.3617821880600768,0.5296352680519618
21,"Rua Monte Líbano, 960 - Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,198700.0,250.0,Rua Monte Líbano,Mondubim,Fortaleza,CE,4515.909090909091,"Rua Monte Líbano, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60762-376, Brasil",-3.824137728421249,-38.56148465823975,3001-5000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
22,"Rua das Carnaúbas, 371 - Passaré, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 63m²",63.0,3,2,1,360000.0,534.0,Rua das Carnaúbas,Passaré,Fortaleza,CE,5714.285714285715,"Rua das Carnaúbas, Passaré, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60743-780, Brasil",-3.807699787055288,-38.53517505713482,5001-10000,6,0.938259109311741,0.1087314662273476,0.1111660122387283,0.2246725529938817
23,"Rua Tropical, 20 - Paupina, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 50m²",50.0,2,2,1,230000.0,307.0,Rua Tropical,Paupina,Fortaleza,CE,4600.0,"Rua Tropical, Paupina, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60872-470, Brasil",-3.848122487527828,-38.48584610252073,3001-5000,6,0.9261133603238868,0.2224052718286655,0.0723739799841534,0.2461107370021986
24,"Rua Otávio Ferreira Machado - Papicu, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 75m²",75.0,3,2,1,330000.0,650.0,Rua Otávio Ferreira Machado,Papicu,Fortaleza,CE,4400.0,"Rua Otávio Ferreira Machado, Papicu, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60176-020, Brasil",-3.737395472995989,-38.476014740497845,3001-5000,2,0.951417004048583,0.4316309719934102,0.3617821880600768,0.5296352680519618
25,"Rua Monte Líbano, 960 - Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,185000.0,400.0,Rua Monte Líbano,Mondubim,Fortaleza,CE,4204.545454545455,"Rua Monte Líbano, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60762-376, Brasil",-3.824137728421249,-38.56148465823975,3001-5000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
26,"Rua B, 44 - Dendê, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 45m²",45.0,2,1,1,90000.0,350.0,Rua B,Dendê,Fortaleza,CE,2000.0,"Rua B, Rachel de Queiroz, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60711-100, Brasil",-3.795528174909877,-38.56195089793668,1500-3000,4,0.9483805668016196,0.0543657331136738,0.1152504612182008,0.1811271369676974
27,"Rua Mauro Freire, 300 - Parque Iracema, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 70m²",70.0,3,3,2,550000.0,600.0,Rua Mauro Freire,Parque Iracema,Fortaleza,CE,7857.142857142857,"Rua Mauro Freire, Parque del Sol, Parque Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60824-020, Brasil",-3.805815128028229,-38.49732511180368,5001-10000,6,0.9817813765182186,0.3270181219110378,0.4010215508041715,0.5049535625829636
28,"Rua Reverendo Bolivar Pinto Bandeira, 650 - Engenheiro Luciano Cavalcante, Fortaleza - CE","Apartamento com 4 Quartos à Venda, 146m²",146.0,4,4,3,1990000.0,950.0,Rua Reverendo Bolivar Pinto Bandeira,Engenheiro Luciano Cavalcante,Fortaleza,CE,13630.13698630137,"Rua Reverendo Bolivar Pinto Bandeira, Conjunto Santa Luzia do Cocó, Engenheiro Luciano Cavalcante, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60811-310, Brasil",-3.771518291289632,-38.49256084562166,10001-15000,2,0.9676113360323886,0.3920922570016474,0.3757196027237456,0.5223773718191421
29,"Rua Professor Manduca, 554 - Mondubim, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 64m²",64.0,3,2,1,200000.0,500.0,Rua Professor Manduca,Mondubim,Fortaleza,CE,3125.0,"Rua Professor Manduca, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60711-555, Brasil",-3.804343270508373,-38.56265957812832,3001-5000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
30,"Rua Máximo Linhares, 777 - Cidade dos Funcionários, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 74m²",74.0,3,2,2,640000.0,695.0,Rua Máximo Linhares,Cidade dos Funcionários,Fortaleza,CE,8648.648648648648,"Rua Máximo Linhares, Cidade dos Funcionários, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60822-095, Brasil",-3.799026541248843,-38.49085285468034,5001-10000,6,0.9848178137651822,0.4958813838550246,0.3829499837733057,0.5718628950565351
31,"Rua Professor Francisco Gonçalves, 1271 - Cocó, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 99m²",99.0,3,3,2,950000.0,1.0,Rua Professor Francisco Gonçalves,Cocó,Fortaleza,CE,9595.959595959595,"Rua Professor Francisco Gonçalves, São João do Tauape, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60192-170, Brasil",-3.749837579252202,-38.49194607950788,5001-10000,2,0.9979757085020242,0.4967051070840197,0.8935119536647478,0.7622655996830392
32,"Rua Vilebaldo Aguiar, 2215 - Cocó, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 55m²",55.0,2,2,1,454000.0,350.0,Rua Vilebaldo Aguiar,Cocó,Fortaleza,CE,8254.545454545454,"Rua Vilebaldo Aguiar, Cocó, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60192-025, Brasil",-3.744471703581086,-38.47570983423499,5001-10000,2,0.9979757085020242,0.4967051070840197,0.8935119536647478,0.7622655996830392
33,"Avenida Maria Gomes de Sá, 1951 - Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 67m²",67.0,2,2,1,180000.0,360.0,Avenida Maria Gomes de Sá,Mondubim,Fortaleza,CE,2686.567164179105,"Avenida Maria Gomes de Sá, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60767-605, Brasil",-3.82193906471632,-38.585153251777214,1500-3000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
34,"Rua das Carnaúbas, 371 - Passaré, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 63m²",63.0,3,2,2,380000.0,500.0,Rua das Carnaúbas,Passaré,Fortaleza,CE,6031.746031746032,"Rua das Carnaúbas, Passaré, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60743-780, Brasil",-3.807699787055288,-38.53517505713482,5001-10000,6,0.938259109311741,0.1087314662273476,0.1111660122387283,0.2246725529938817
35,"Rua Alfredo Mamede, 637 - Novo Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 48m²",48.0,2,1,1,150000.0,290.0,Rua Alfredo Mamede,Novo Mondubim,Fortaleza,CE,3125.0,"Rua Alfredo Mamede, Novo Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60763-806, Brasil",-3.810669195474337,-38.58293881560782,3001-5000,5,0.9281376518218624,0.2512355848434925,0.0527849977633475,0.2327907907886917
36,"Rua Governador Manoel de Castro Filho - Edson Queiroz, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 80m²",80.0,3,3,2,630000.0,615.0,Rua Governador Manoel de Castro Filho,Edson Queiroz,Fortaleza,CE,7875.0,"Rua Governador Manoel de Castro Filho, Edson Queiroz, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60811-595, Brasil",-3.761575781553249,-38.47851821838616,5001-10000,6,0.9645748987854252,0.2240527182866556,0.198901262758421,0.3503008877181461
37,"Rua Monsenhor Carneiro da Cunha, 2800 - Engenheiro Luciano Cavalcante, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 60m²",60.0,3,2,1,360000.0,850.0,Rua Monsenhor Carneiro da Cunha,Engenheiro Luciano Cavalcante,Fortaleza,CE,6000.0,"2800, Avenida Monsenhor Carneiro da Cunha, Conjunto Santa Luzia do Cocó, Engenheiro Luciano Cavalcante, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60811-290, Brasil",-3.7782592,-38.48420787776023,5001-10000,2,0.9676113360323886,0.3920922570016474,0.3757196027237456,0.5223773718191421
38,"Rua João Cordeiro, 688 - Meireles, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 80m²",80.0,3,3,2,850000.0,530.0,Rua João Cordeiro,Meireles,Fortaleza,CE,10625.0,"Rua João Cordeiro, Meireles, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60110-620, Brasil",-3.7266426314624295,-38.5134452054209,10001-15000,2,1.0,0.8657331136738056,1.0,0.9530770452991866
39,"Avenida Ministro José Américo, 150 - Parque Iracema, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 55m²",55.0,3,2,1,270000.0,360.0,Avenida Ministro José Américo,Parque Iracema,Fortaleza,CE,4909.090909090909,"Avenida Ministro José Américo, Parque Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60824-245, Brasil",-3.811302287196038,-38.49578208728349,3001-5000,6,0.9817813765182186,0.3270181219110378,0.4010215508041715,0.5049535625829636
40,"Avenida Rogaciano Leite, 900 - Guararapes, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 107m²",107.0,3,4,2,650000.0,900.0,Avenida Rogaciano Leite,Guararapes,Fortaleza,CE,6074.7663551401865,"Avenida Rogaciano Leite, Guararapes, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60810-060, Brasil",-3.757629887800159,-38.49148597929862,5001-10000,2,0.993927125506073,0.4794069192751236,0.9499194512745996,0.7678007652028228
41,"Avenida Clóvis Matos, 280 - Vicente Pinzon, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 59m²",59.0,3,2,1,430000.0,350.0,Avenida Clóvis Matos,Vicente Pinzon,Fortaleza,CE,7288.135593220339,"Avenida Clóvis Matos, Vicente Pinzón, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60182-260, Brasil",-3.7301535630189457,-38.464082116024606,5001-10000,2,0.9261133603238868,0.3023064250411861,0.1300854605895991,0.331471933820208
42,"Rua Coronel Alves Teixeira, 755 - Joaquim Tavora, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 54m²",54.0,3,2,1,390000.0,630.0,Rua Coronel Alves Teixeira,Joaquim Távora,Fortaleza,CE,7222.222222222223,"Rua Coronel Alves Teixeira, Joaquim Távora, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60110-535, Brasil",-3.7454389237910832,-38.51925279228495,5001-10000,2,0.9848178137651822,0.8369028006589786,0.3528297308122995,0.6625195477775814
43,"Rua Dom Expedito Lopes, 2250 - Dionísio Torres, Fortaleza - CE","Apartamento com 4 Quartos à Venda, 118m²",118.0,4,3,2,1330000.0,1016.0,Rua Dom Expedito Lopes,Dionísio Torres,Fortaleza,CE,11271.186440677966,"Rua Dom Expedito Lopes, Dionísio Torres, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60135-225, Brasil",-3.74252495,-38.50912975,10001-15000,2,0.9989878542510122,0.8813838550247116,0.721605477898073,0.8596896670374955
44,"Rua A, 176 - Dendê, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 46m²",46.0,2,1,1,230000.0,250.0,Rua A,Dendê,Fortaleza,CE,5000.0,"Rua A, Rachel de Queiroz, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60714-685, Brasil",-3.8055025,-38.5546751,3001-5000,4,0.9483805668016196,0.0543657331136738,0.1152504612182008,0.1811271369676974
45,"Rua Alódia, 200 - Parque Iracema, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 73m²",73.0,3,2,2,699000.0,650.0,Rua Alódia,Parque Iracema,Fortaleza,CE,9575.342465753423,"Rua Alódia, Parque del Sol, Parque Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60824-230, Brasil",-3.807106330577079,-38.49463243321944,5001-10000,6,0.9817813765182186,0.3270181219110378,0.4010215508041715,0.5049535625829636
46,"Rua Alódia, 200 - Parque Iracema, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 70m²",70.0,3,2,2,650000.0,630.0,Rua Alódia,Parque Iracema,Fortaleza,CE,9285.714285714286,"Rua Alódia, Parque del Sol, Parque Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60824-230, Brasil",-3.807106330577079,-38.49463243321944,5001-10000,6,0.9817813765182186,0.3270181219110378,0.4010215508041715,0.5049535625829636
47,"Rua Amélia Benebien, 1 - Papicu, Fortaleza - CE","Apartamento com 4 Quartos à Venda, 118m²",118.0,4,4,2,600000.0,1050.0,Rua Amélia Benebien,Papicu,Fortaleza,CE,5084.745762711865,"Rua Amélia Benebien, Papicu, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60176-010, Brasil",-3.737415255072199,-38.47446824142912,5001-10000,2,0.951417004048583,0.4316309719934102,0.3617821880600768,0.5296352680519618
48,"Avenida Deputado Paulino Rocha, 1967 - Cajazeiras, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 46m²",46.0,2,2,1,235000.0,250.0,Avenida Deputado Paulino Rocha,Cajazeiras,Fortaleza,CE,5108.695652173913,"Avenida Deputado Paulino Rocha, Cajazeiras, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60864-311, Brasil",-3.8116764758754016,-38.51108444146139,5001-10000,6,0.9544534412955464,0.1911037891268533,0.1548640612345736,0.3045497379718516
49,"Rua Coronel João de Oliveira, 555 - Messejana, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 72m²",72.0,3,2,2,430000.0,480.0,Rua Coronel João de Oliveira,Messejana,Fortaleza,CE,5972.222222222223,"Rua Coronel João de Oliveira, Messejana, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60844-215, Brasil",-3.823511743470175,-38.48274629978775,5001-10000,6,0.9564777327935224,0.4629324546952224,0.1197676220437448,0.3757024033168344
50,"Rua Doutor Francisco Gadelha, 820 - Engenheiro Luciano Cavalcante, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 77m²",77.0,3,2,2,629990.0,730.0,Rua Doutor Francisco Gadelha,Engenheiro Luciano Cavalcante,Fortaleza,CE,8181.688311688312,"Rua Doutor Francisco Gadelha, Engenheiro Luciano Cavalcante, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60813-520, Brasil",-3.7768496691127367,-38.484346870795946,5001-10000,2,0.9676113360323886,0.3920922570016474,0.3757196027237456,0.5223773718191421
