,endereco,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,rua,bairro,cidade,estado,preco p/ m²,endereco_geo,latitude,longitude,preco_bin,Regional,IDH-Educação,IDH-Longevidade,IDH-Renda,IDH
3742,"Rodovia Quarto Anel Viário, 439 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 93m²",93.0,3,2,2,242000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2602.1505376344085,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3743,"Rodovia Quarto Anel Viário, 442 - Ancuri, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 60m²",60.0,2,2,1,161000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2683.333333333333,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3744,"Avenida Dionísio Leonel Alencar, 1 - Ancuri, Fortaleza - CE","Casa com 2 Quartos à Venda, 84m²",84.0,2,2,2,195000.0,0.0,Avenida Dionísio Leonel Alencar,Ancuri,Fortaleza,CE,2321.428571428572,"Avenida Dionísio Leonel Alencar, Santa Fé, Jangurussu, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60874-185, Brasil",-3.860261638178369,-38.512930504110656,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3745,"Rodovia Quarto Anel Viário, 32 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 79m²",79.0,3,2,2,220000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2784.8101265822784,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3746,"Rodovia Quarto Anel Viário, 199 - Ancuri, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 52m²",52.0,2,1,1,158000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,3038.4615384615386,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,3001-5000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3747,"Rodovia Quarto Anel Viário, 517 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 89m²",89.0,3,2,2,195000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2191.011235955056,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3748,"Rodovia Quarto Anel Viário, 78 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 87m²",87.0,3,2,2,215000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2471.264367816092,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3749,"Rodovia Quarto Anel Viário, 200 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 76m²",76.0,3,2,2,195000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2565.7894736842104,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3750,"Rodovia Quarto Anel Viário, 180 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 88m²",88.0,3,2,2,195000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2215.909090909091,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3751,"Rodovia Quarto Anel Viário, 526 - Ancuri, Fortaleza - CE","Casa com 2 Quartos à Venda, 89m²",89.0,2,2,2,230000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2584.2696629213483,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
