,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
897,"Couto Fernandes, Fortaleza",Rua Oscar Bezerra,"Apartamento para comprar 
Couto Fernandes, Fortaleza",46.0,2,2,2,285000.0,425.0,Couto Fernandes, Fortaleza
898,"Edson Queiroz, Fortaleza",Rua Maria Odalea Pires da Silva,"Apartamento para comprar 
Edson Queiroz, Fortaleza",91.0,2,3,2,969000.0,950.0,Edson Queiroz, Fortaleza
899,"Meireles, Fortaleza",Rua Silva Jatahy,"Apartamento para comprar 
Meireles, Fortaleza",208.0,4,6,3,2248000.0,0.0,Meireles, Fortaleza
900,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",55.0,2,1,1,165000.0,0.0,Pedras, Fortaleza
901,"Cajazeiras, Fortaleza",Avenida Geógrafo Antônio Ribeiro Zaranza,"Apartamento para comprar 
Cajazeiras, Fortaleza",10.0,2,1,1,35000.0,1.0,Cajazeiras, Fortaleza
902,"Sapiranga, Fortaleza",Rua Firmo Ananias Cardoso,"Casa para comprar 
Sapiranga, Fortaleza",175.0,3,4,4,530000.0,0.0,Sapiranga, Fortaleza
903,"Edson Queiroz, Fortaleza",Rua Hil de Moraes,"Apartamento para comprar 
Edson Queiroz, Fortaleza",30.0,1,1,1,370000.0,0.0,Edson Queiroz, Fortaleza
904,"Passaré, Fortaleza",Rua dos Mandacarus,"Apartamento para comprar 
Passaré, Fortaleza",58.0,3,2,2,360000.0,390.0,Passaré, Fortaleza
905,"Sapiranga-Coité, Fortaleza",Rua José Vilar de Andrade,"Casa para comprar 
Sapiranga-Coité, Fortaleza",160.0,3,4,2,780000.0,1000.0,Sapiranga-Coité, Fortaleza
906,"Vicente Pinzon, Fortaleza",Rua Professor Heráclito,"Casa para comprar 
Vicente Pinzon, Fortaleza",350.0,3,3,4,755000.0,0.0,Vicente Pinzon, Fortaleza
908,"Cidade 2000, Fortaleza",Avenida Nila Gomes de Soárez,"Apartamento para comprar 
Cidade 2000, Fortaleza",62.0,3,2,1,269000.0,400.0,Cidade 2000, Fortaleza
910,"Jardim das Oliveiras, Fortaleza",Rua João Pedro de Santiago,"Casa para comprar 
Jardim das Oliveiras, Fortaleza",116.0,3,2,4,400000.0,1.0,Jardim das Oliveiras, Fortaleza
